"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-09",,,,,"2.0",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-10",,,,,"29.0",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-11",,,,,"0.3",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-12",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-13",,,,,"0.5",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-14",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-15",,,,,"0.8",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-16",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-17",,,,,"1.3",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-18",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-19",,,,,"11.4",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-20",,,,,"8.9",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-21",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-22",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-23",,,,,"8.1",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-24",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-25",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-26",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-27",,,,,"0.8",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-28",,,,,"21.6",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-29",,,,,"3.3",,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-30",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-03-31",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-04-01",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-04-02",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2020-04-03",,,,,"0.0","0.0",,,,,,,,,,,,,,,,,,,,
